QUESTION	INTENT
윈터솔져 나오는 2018년 개봉한 영화 제목이 뭐지?	findMovie
타노스 나오는 영화 알려줘	findMovie
어벤져스 3편 이름 알려줘	findMovie
어벤져스 최신작 알려줘	findMovie
어벤져스 최근작품이 뭐지?	findMovie
루소형제 감독의 최근작품이 뭐지?	findMovie
MCU영화 알려줘	findMovie
많은 히어로들이 나오는 영화 알려줘	findMovie
초호화캐스팅의 헐리웃 영화 알려줘	findMovie
어벤져스2 속편 알려줘	findMovie
어벤져스 속편 알려줘	findMovie
토르라그나로크 다음에 볼만한 영화 알려줘	recommend
블랙팬서 다음에 볼 영화 알려줘	recommend
토르3편 다음에 볼 영화 알려줘	recommend
라그나로크 다음에 볼  영화 알려줘	recommend
번역논란된 히어로무비 알려줘	findMovie
박지훈번역가가 번역한 영화 알려줘	findMovie
닥터스트레인지 나오는 최신영화 알려줘	findMovie
그루트 출연하는 히어로무비 알려줘	findMovie
토르 나오는 히어로무비 알려줘	findMovie
캡틴아메리카 나오는 마블영화 이름이 뭐지?	findMovie
톰 히들스턴 출연하는 2018년 개봉한영화 알려줘	findMovie
마크러팔러 출연하는 히어로무비 이름이 뭐지?	findMovie
엘리자베스 올슨 출연하는 마블영화 제목이뭐지?	findMovie
엘리자베스 올슨 나오는 히어로무비 제목이뭐지?	findMovie
앤서니 매키 나오는 히어로무비 제목이뭐지?	findMovie
크리스에반스 출연하는 2018년 개봉한영화 제목이뭐지?	findMovie
아이언맨 나오는 디즈니영화 이름이뭐야?	findMovie
워머신 나오는 히어로무비 제목이뭐지?	findMovie
크리스에반스 나오는 2018년 개봉한영화 이름이뭐야?	findMovie
로키 나오는 마블영화 이름이 뭐지?	findMovie
로키 나오는 2018년 개봉한영화 알려줘	findMovie
헐크 출연하는 만화책 원작의 영화 이름이 뭐지?	findMovie
스타로드 출연하는 만화책원작의 영화 이름이뭐야?	findMovie
비전 나오는 마블영화 이름이 뭐지?	findMovie
비전 나오는 히어로무비 이름이 뭐지?	findMovie
토르 출연하는 마블영화 이름이 뭐지?	findMovie
엘리자베스 올슨 출연하는 2018년 개봉한 영화 제목이뭐지?	findMovie
비전 나오는 2018년 개봉한영화 알려줘	findMovie
그루트 나오는 2018년 개봉영화 제목이뭐지?	findMovie
피터파커 나오는 2018년 개봉영화 알려줘	findMovie
비전 나오는 히어로무비 제목이 뭐지?	findMovie
토르 출연하는 만화책원작의 영화 이름이 뭐지?	findMovie
앤서니 매키 나오는 만화책원작의 영화 이름이 뭐지?	findMovie
스파이더맨 출연하는 디즈니영화 이름이 뭐지?	findMovie
마크러팔러 출연하는 디즈니영화 이름이 뭐지?	findMovie
아이언맨 나오는 2018년 개봉한영화 제목이뭐지?	findMovie
워머신 출연하는 히어로무비 알려줘	findMovie
엘리자베스 올슨 출연하는 마블영화 이름이 뭐지?	findMovie
토르 나오는 마블영화 이름이뭐야?	findMovie
로키 나오는 만화책원작의 영화 알려줘	findMovie
스파이더맨 출연하는 마블영화 이름이뭐야?	findMovie
크리스 헴스워스 나오는 디즈니영화 알려줘	findMovie
피터파커 나오는 만화책원작의 영화 이름이 뭐지?	findMovie
톰 히들스턴 나오는 디즈니영화 이름이뭐야?	findMovie
아이언맨 출연하는 만화책원작의 영화 알려줘	findMovie
톰 히들스턴 출연하는 디즈니영화 알려줘	findMovie
아이언맨 출연하는 마블영화 이름이 뭐지?	findMovie
엘리자베스 올슨 출연하는 만화책원작의 영화 제목이뭐지?	findMovie
스칼렛 요한슨 출연하는 만화책원작의 영화 알려줘	findMovie
로버트 다우니 주니어 나오는 마블영화 제목이뭐지?	findMovie
캡틴아메리카 나오는 디즈니영화 이름이뭐야?	findMovie
워머신 나오는 마블영화 알려줘	findMovie
워머신 나오는 디즈니영화 알려줘	findMovie
엘리자베스 올슨 출연하는 마블영화 알려줘	findMovie
톰 히들스턴 나오는 디즈니영화 이름이뭐야?	findMovie
스파이더맨 나오는 마블영화 이름이 뭐지?	findMovie
스칼렛 요한슨 출연하는 히어로무비 이름이뭐야?	findMovie
워머신 출연하는 디즈니영화 제목이뭐지?	findMovie
로버트 다우니 주니어 나오는 디즈니영화 이름이뭐야?	findMovie
워머신 출연하는 만화책원작의 영화 이름이뭐야?	findMovie
피터파커 나오는 마블영화 제목이뭐지?	findMovie
비전 출연하는 히어로무비 제목이뭐지?	findMovie
피터파커 출연하는 만화책원작의 영화 알려줘	findMovie
로버트 다우니 주니어 나오는 만화책원작의 영화 이름이 뭐지?	findMovie
피터파커 나오는 만화책원작의 영화 이름이뭐야?	findMovie
캡틴아메리카 나오는 2018년 개봉한영화 알려줘	findMovie
그루트 출연하는 마블영화 알려줘	findMovie
스파이더맨 나오는 디즈니영화 이름이뭐야?	findMovie
마크러팔러 출연하는 마블영화 이름이 뭐지?	findMovie
워머신 나오는 마블영화 제목이뭐지?	findMovie
헐크 출연하는 디즈니영화 이름이뭐야?	findMovie
스칼렛 요한슨 출연하는 2018년 개봉한영화 이름이 뭐지?	findMovie
크리스 헴스워스 출연하는 만화책원작의 영화 제목이뭐지?	findMovie
피터파커 출연하는 만화책원작의 영화 이름이뭐야?	findMovie
워머신 출연하는 히어로무비 알려줘	findMovie
헐크 출연하는 마블영화 이름이뭐야?	findMovie
로키 나오는 히어로무비 이름이뭐야?	findMovie
스파이더맨 나오는 만화책원작의 영화 이름이뭐야?	findMovie
크리스에반스 나오는 만화책원작의 영화 알려줘	findMovie
피터파커 나오는 2018년 개봉한영화 알려줘	findMovie
인피니티스톤 모으는 영화 알려줘	findMovie
아이언맨 나오는 최신영화 알려줘	findMovie
MCU 페이즈3 영화 알려줘	findMovie
 보기전 볼 영화 알려줘	findMovie
캡틴마블 보기전 볼 영화 알려줘	findMovie
아이언스파이더슈트 나오는 영화 알려줘	findMovie
에보니모 나오는 영화 알려줘	findMovie
크리스 헴스워스 등장하는 2018 영화	findMovie
캡틴아메리카 등장하는 영화	findMovie
헐크 출연하는 최신영화	findMovie
엘리자베스 올슨 나오는 최신영화	findMovie
헐크 출연하는 2018 영화	findMovie
토르 등장하는 2018 개봉작	findMovie
토르 출연하는 최신영화	findMovie
스파이더맨 나오는 2018 영화	findMovie
캡틴아메리카 등장하는 최신영화	findMovie
아이언맨 출연하는 2018 개봉작	findMovie
로키 등장하는 최신영화	findMovie
비전 나오는 2018 개봉작	findMovie
마크러팔러 나오는 2018 영화	findMovie
로버트 다우니 주니어 출연하는 2018 영화	findMovie
헐크 등장하는 2018 영화	findMovie
마크러팔러 등장하는 2018 개봉작	findMovie
워머신 등장하는 2018 개봉작	findMovie
스파이더맨 나오는 영화	findMovie
캡틴아메리카 등장하는 2018 영화	findMovie
윈터솔져 나오는 2018 영화	findMovie
